customer_id,country,province,city,gender,marital_status,occupation_code,income,birth_date,onboard_date,occupation_title,is_small_business,industry_code,employee_count,sales,established_date,industry,label,account_age_days,account_lifetime,age,occupation,business_age,income_missing_flag,n_txn_abm,sum_amt_abm,mean_amt_abm,median_amt_abm,std_amt_abm,cv_amt_abm,has_abm,n_txn_card,sum_amt_card,mean_amt_card,median_amt_card,std_amt_card,cv_amt_card,has_card,n_txn_cheque,sum_amt_cheque,mean_amt_cheque,median_amt_cheque,std_amt_cheque,cv_amt_cheque,has_cheque,n_txn_eft,sum_amt_eft,mean_amt_eft,median_amt_eft,std_amt_eft,cv_amt_eft,has_eft,n_txn_emt,sum_amt_emt,mean_amt_emt,median_amt_emt,std_amt_emt,cv_amt_emt,has_emt,n_txn_wire,sum_amt_wire,mean_amt_wire,median_amt_wire,std_amt_wire,cv_amt_wire,has_wire,n_txn_wu,sum_amt_wu,mean_amt_wu,median_amt_wu,std_amt_wu,cv_amt_wu,has_wu,sum_amt_total,n_txn_total,num_channels_used,share_amt_abm,share_amt_card,share_amt_cheque,share_amt_eft,share_amt_emt,share_amt_wire,share_amt_wu,max_channel_share,transaction_frequency_7d,transaction_volume_7d,transaction_size_mean_7d,transaction_size_median_7d,transaction_size_variance_7d,transaction_round_amount_frequency_7d,transaction_same_amount_frequency_7d,transaction_frequency_90d,transaction_volume_90d,transaction_size_mean_90d,transaction_size_median_90d,transaction_size_variance_90d,transaction_round_amount_frequency_90d,transaction_same_amount_frequency_90d,transaction_unique_merchants,transaction_most_frequent_merchant,transaction_ecommerce_ratio,transaction_ecommerce_frequency_ratio,transaction_unique_countries,transaction_most_frequent_country,cross_border_ratio,max_transaction_frequency_7d,max_transaction_frequency_90d,days_since_last_transaction,incoming_volume_7d,incoming_volume_90d,count_txn_below_threshold_frequency,channel_credit_volume,channel_debit_volume,cash_ratio,wire_ratio,abm_cash_deposit_volume,abm_cash_withdrawal_volume,median_hold_time_funds,incoming_to_outgoing_time_mean,txn_to_sales_ratio,txn_volume_vs_income,txn_volume_vs_occupation_median
SYNID0100000485,CA,ON,BRAMPTON,FEMALE,Widowed,RETIRED,19998.0,5/2/1935,7/12/1997,retired,0,,,,,,0.0,10065,10065,91.0,,0,0,2,786.74,393.37,393.37,31.89051583,0.081070025,1,19,1172.35,61.70263158,39.5,58.97366963,0.955772357,1,0,0.0,0.0,0.0,0.0,0.0,0,19,9032.23,475.3805263,352.89,554.489692,1.166412298,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,10991.32,40,3,0.0715783,0.106661438,0.0,0.821760262,0.0,0.0,0.0,0.821760262,3,746.82,248.94,215.08,26626.5451,0.0,0.0,39,9606.64,246.3241026,108.27,157625.1419,0.0,0.0,12,5411,0.227525909,0.105263158,1,CA,0.0,2,3,0,105.35,5918.32,0.0,5918.32,3688.32,0.081895439,0.0,786.74,0.0,43.82222222,70.76868687,,0.480380038,0.330522622
SYNID0100021236,CA,ON,MISSISSAUGA,MALE,Married,OTHER,42336.0,7/14/1946,6/3/1992,other,0,,,,,,0.0,11930,11930,80.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,4,368.99,92.2475,99.015,74.75654369,0.810390999,1,18,9189.43,510.5238889,252.86,790.8254523,1.549046909,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,9558.42,22,2,0.0,0.0,0.03860366,0.96139634,0.0,0.0,0.0,0.96139634,2,600.91,300.455,300.455,4227.40125,0.0,0.0,20,8534.52,426.726,153.575,589894.5307,0.0,0.0,0,,0.0,0.0,0,,0.0,1,5,1,254.48,5982.04,0.0,5982.04,2552.48,0.0,0.0,0.0,0.0,97.37833333,302.373179,,0.201590136,0.19644424
SYNID0100036671,CA,AB,EDMONTON,,,RETIRED,35032.0,8/18/1953,7/28/2000,retired,0,,,,,,0.0,8953,8953,72.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,105.43,105.43,105.43,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,105.43,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,105.43,105.43,105.43,0.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0,1,71,0.0,105.43,0.0,105.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.003009534,0.003627387
SYNID0100059315,CA,ON,WINDSOR,MALE,Single,UNEMPLOYED,18833.0,10/30/1984,5/3/2013,unemployed,0,,,,,,0.0,4291,4291,41.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1906.9,1906.9,1906.9,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1906.9,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1906.9,1906.9,1906.9,0.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0,1,76,0.0,1906.9,0.0,1906.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.10125312,0.16216515
SYNID0100060562,CA,,other,MALE,Married,RETIRED,85408.0,4/15/1959,10/4/1986,retired,0,,,,,,0.0,13999,13999,67.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,11,6742.12,612.92,268.74,709.9531772,1.158312956,1,4,1936.09,484.0225,20.825,931.380848,1.924251141,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,8678.21,15,2,0.0,0.0,0.0,0.776902149,0.223097851,0.0,0.0,0.776902149,1,181.48,181.48,181.48,0.0,0.0,0.0,14,8652.31,618.0221429,237.325,566480.5635,0.0,0.0,0,,0.0,0.0,0,,0.0,1,2,1,0.0,5804.56,0.0,5804.56,2847.75,0.0,0.0,0.0,0.0,202.6915278,309.24,,0.101305615,0.297688285
SYNID0100075150,CA,ON,BRAMPTON,MALE,Married,20012,97040.0,9/28/1983,,Computer and information systems managers,0,,,,,,0.0,0,0,42.0,Computer and information systems managers,0,0,6,745.75,124.2916667,115.295,78.95109205,0.63520825,1,22,1078.18,49.00818182,23.35,91.75860503,1.872311961,1,12,20023.06,1668.588333,459.535,2658.449012,1.59323241,1,5,4949.32,989.864,778.06,975.1226497,0.985107701,1,20,6742.71,337.1355,100.15,463.8569696,1.375876968,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,33539.02,65,5,0.022235295,0.032147034,0.597007903,0.147569011,0.201040758,0.0,0.0,0.597007903,5,791.51,158.302,94.8,44909.42782,0.0,0.0,63,33463.25,531.1626984,59.44,1754681.563,0.015873016,0.0,13,5814,0.04014172,0.090909091,1,CA,0.0,3,3,0,105.5,21408.79,0.0,21408.79,12054.46,0.02049263,0.0,0.0,685.75,32.84027778,44.28944444,,0.344839757,0.64748365
SYNID0100088505,CA,,other,FEMALE,Married,SELF_EMPLOYED,172642.0,5/19/1972,7/27/2008,self_employed,0,,,,,,0.0,6032,6032,54.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,7,5628.24,804.0342857,373.1,791.6943838,0.984652518,1,20,19149.51,957.4755,474.185,1614.540068,1.686246873,1,24,7189.96,299.5816667,127.42,383.8691707,1.281350675,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,31967.71,51,3,0.0,0.0,0.176060156,0.599026643,0.224913201,0.0,0.0,0.599026643,4,2678.04,669.51,525.29,457866.3342,0.0,0.0,49,29913.62,610.4820408,212.28,1265847.437,0.0,0.0,0,,0.0,0.0,0,,0.0,1,4,0,2667.53,19043.26,0.0,19043.26,10870.36,0.0,0.0,0.0,0.0,25.97333333,35.89422515,,0.173269656,0.565768973
SYNID0100090388,CA,,other,FEMALE,Married,10019,,,12/16/1993,Other administrative services managers,0,,,,,,0.0,11369,11369,,Other administrative services managers,0,1,1,400.0,400.0,400.0,0.0,0.0,1,115,5349.01,46.51313043,24.51,64.00199477,1.375998437,1,13,26996.92,2076.686154,282.43,4696.554388,2.26156195,1,18,11522.65,640.1472222,233.435,982.4881795,1.534784727,1,59,17434.26,295.4959322,77.09,867.0435602,2.934197956,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,61702.84,206,5,0.006482684,0.086689851,0.437531238,0.186744241,0.282551986,0.0,0.0,0.437531238,19,3753.23,197.5384211,26.02,172247.016,0.0,0.0,198,59765.75,301.8472222,50.605,1902414.489,0.02020202,0.02020202,30,5814,0.131733266,0.133928571,4,CA,0.032608696,4,6,0,1627.24,42219.96,0.0,42219.96,17545.79,0.0,0.0,0.0,0.0,6.891944444,9.653875,,,1.524169897
SYNID0100093807,CA,,other,MALE,Married,12010,116457.0,7/25/1984,12/8/2014,"Supervisors, general office and administrative support workers",0,,,,,,0.0,3707,3707,41.0,"Supervisors, general office and administrative support workers",0,0,0,0.0,0.0,0.0,0.0,0.0,0,218,13814.84,63.37082569,23.585,106.8124099,1.685513937,1,0,0.0,0.0,0.0,0.0,0.0,0,6,2622.95,437.1583333,460.67,378.532545,0.865893467,1,6,1852.85,308.8083333,156.195,399.2656298,1.292923755,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,18290.64,230,3,0.0,0.755295605,0.0,0.143403949,0.101300447,0.0,0.0,0.755295605,19,1851.08,97.42526316,23.51,28607.95906,0.052631579,0.0,226,18136.34,80.24929204,25.05,22737.90363,0.026548673,0.07079646,40,5814,0.146009601,0.158878505,2,CA,0.016216216,7,7,0,0.0,3367.03,0.0,3367.03,14769.31,0.0,0.0,0.0,0.0,16.97138889,19.40559524,,0.155734219,0.322676227
SYNID0100096061,CA,ON,MISSISSAUGA,FEMALE,Single,RETIRED,58208.0,6/18/1952,5/21/1997,retired,0,,,,,,0.0,10117,10117,74.0,,0,0,4,455.45,113.8625,66.725,129.392461,1.136392236,1,1,31.56,31.56,31.56,0.0,0.0,1,1,1035.28,1035.28,1035.28,0.0,0.0,1,20,8680.3,434.015,236.705,472.4907698,1.088650783,1,1,1623.18,1623.18,1623.18,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,11825.77,27,5,0.038513348,0.002668748,0.087544405,0.734015629,0.13725787,0.0,0.0,0.734015629,2,1589.29,794.645,794.645,598997.9605,0.0,0.0,26,11599.74,446.1438462,203.505,263697.647,0.038461538,0.0,1,5814,0.0,0.0,1,CA,0.0,1,2,1,1589.29,7041.44,0.0,7041.44,4558.3,0.039263811,0.0,0.0,455.45,46.09666667,46.89319444,,0.199280855,0.399096508
